Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
6607 Escena Boulevard,Irving,TX,75039,Single Family,Active,,10/5/2023 3:48:00 PM,650000,,,4,5,2954,0.09,2012,46,,,https://www.xome.com/homes-for-sale/6607-Escena-Boulevard-Irving-TX-75039-385064221,20444498,N,32.89825,-96.94299
1317 Brookhollow Drive,Irving,TX,75061,Single Family,Active,,10/5/2023 3:09:00 PM,472000,,,4,2,1862,0.371,1955,46,,,https://www.xome.com/homes-for-sale/1317-Brookhollow-Drive-Irving-TX-75061-385062000,20446397,N,32.82829,-96.9234
8611 Old Oak Drive,Irving,TX,75063,Single Family,Active,,10/5/2023 11:22:00 AM,525000,,,3,3,2569,0.0919,1997,47,,,https://www.xome.com/homes-for-sale/8611-Old-Oak-Drive-Irving-TX-75063-385051033,20424837,N,32.92292,-96.94845
2913 Douglas Avenue,Irving,TX,75062,Single Family,Active,,10/5/2023 5:49:00 AM,340000,,,4,2,1822,0.163,1961,47,,,https://www.xome.com/homes-for-sale/2913-Douglas-Avenue-Irving-TX-75062-385032640,20440921,N,32.84583,-96.97069
330 Las Colinas Boulevard Unit 910,Irving,TX,75039,Condo,Active,,10/4/2023 2:34:00 PM,300000,,,1,1,984,3.217,2001,47,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-910-Irving-TX-75039-385008853,20446170,N,32.86558,-96.93816
2315 Markland Street,Irving,TX,75060,Single Family,Active,,9/29/2023 3:20:00 PM,325000,,,3,2,1222,0.096,1986,52,,,https://www.xome.com/homes-for-sale/2315-Markland-Street-Irving-TX-75060-384865611,20443575,N,32.79106,-96.94938
213 Cimarron Trail Unit 3,Irving,TX,75063,Condo,Active,,9/29/2023 3:05:00 PM,255000,,,2,3,1348,5.423,1992,52,,,https://www.xome.com/homes-for-sale/213-Cimarron-Trail-Unit-3-Irving-TX-75063-384865177,20394095,N,32.93393,-96.94811
3801 Cabeza De Vaca Circle,Irving,TX,75062,Single Family,Active,,9/29/2023 10:50:00 AM,1299999,,,5,5,5883,0.555,1973,53,,,https://www.xome.com/homes-for-sale/3801-Cabeza-De-Vaca-Circle-Irving-TX-75062-384853027,20420442,N,32.85345,-96.94351
4110 Crest Ridge Drive,Irving,TX,75061,Single Family,Active,,9/29/2023 1:04:00 AM,449900,,,3,3,2633,0.124,1990,53,,,https://www.xome.com/homes-for-sale/4110-Crest-Ridge-Drive-Irving-TX-75061-384839078,20442862,N,32.81799,-97.007
4855 Cloudcroft Lane,Irving,TX,75038,Single Family,Active,,9/28/2023 5:20:00 PM,1500000,,,3,4,3364,0.0943,2016,53,,,https://www.xome.com/homes-for-sale/4855-Cloudcroft-Lane-Irving-TX-75038-384831745,20435002,N,32.87268,-96.95075
