Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1103 Marshall Drive,Euless,TX,76039,Single Family,NEW LISTING,,12/14/2023 10:31:00 AM,400000,,,3,2,1887,0.153,1996,3,,,https://www.xome.com/homes-for-sale/1103-Marshall-Drive-Euless-TX-76039-387343123,20493206,N,32.85211,-97.08015
1503 Shelmar Drive,Arlington,TX,76014,Single Family,NEW LISTING,,12/14/2023 10:12:00 AM,309999,,,3,2,1401,0.186,1967,3,,,https://www.xome.com/homes-for-sale/1503-Shelmar-Drive-Arlington-TX-76014-387342560,20494551,N,32.70435,-97.08812
111 Misty Mesa Trail,Mansfield,TX,76063,Single Family,NEW LISTING,,12/14/2023 10:12:00 AM,455000,,,5,4,3220,0.182,2003,3,,,https://www.xome.com/homes-for-sale/111-Misty-Mesa-Trail-Mansfield-TX-76063-387342559,20492472,N,32.60854,-97.13786
3551 Parker Road,Haltom City,TX,76117,Single Family,NEW LISTING,,12/14/2023 10:12:00 AM,315000,,,4,2,1730,0.162,1954,3,,,https://www.xome.com/homes-for-sale/3551-Parker-Road-Haltom-City-TX-76117-387342557,20492198,N,32.81404,-97.27209
1311 Brookmeadow Court,Arlington,TX,76018,Single Family,NEW LISTING,,12/14/2023 9:56:00 AM,304900,,,3,2,1477,0.298,1989,3,,,https://www.xome.com/homes-for-sale/1311-Brookmeadow-Court-Arlington-TX-76018-387342282,20494962,N,32.64825,-97.0877
3419 Avenue M,Fort Worth,TX,76105,Single Family,NEW LISTING,,12/14/2023 9:56:00 AM,135000,,,3,2,1837,0.144,1925,3,,,https://www.xome.com/homes-for-sale/3419-Avenue-M-Fort-Worth-TX-76105-387342277,20494937,N,32.72462,-97.27563
749 Cardinal Drive,Saginaw,TX,76131,Single Family,NEW LISTING,,12/14/2023 9:41:00 AM,265000,,,3,2,1458,0.167,2002,3,,,https://www.xome.com/homes-for-sale/749-Cardinal-Drive-Saginaw-TX-76131-387341991,20493881,N,32.87122,-97.35391
7612 Stamp Drive,North Richland Hills,TX,76182,Single Family,NEW LISTING,,12/14/2023 9:41:00 AM,539000,,,3,3,2700,0.113,2012,3,12/17/2023 11:00:00 AM,12/17/2023 2:00:00 PM,https://www.xome.com/homes-for-sale/7612-Stamp-Drive-North-Richland-Hills-TX-76182-387341988,20492693,N,32.88805,-97.20267
5600 Newman Drive,North Richland Hills,TX,76180,Single Family,NEW LISTING,,12/14/2023 9:11:00 AM,315000,,,3,2,1280,0.185,1980,3,,,https://www.xome.com/homes-for-sale/5600-Newman-Drive-North-Richland-Hills-TX-76180-387341249,20490322,N,32.84785,-97.20372
4108 Creech Street,Haltom City,TX,76111,Single Family,NEW LISTING,,12/14/2023 8:41:00 AM,220000,,,2,1,920,0.351,1949,3,,,https://www.xome.com/homes-for-sale/4108-Creech-Street-Haltom-City-TX-76111-387340775,20493515,N,32.78892,-97.28714
