Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
4025 Yellowstone Street,Irving,TX,75062,Single Family,NEW LISTING,,1/26/2024 9:22:00 AM,399000,,,4,2,1609,0.233,1964,4,,,https://www.xome.com/homes-for-sale/4025-Yellowstone-Street-Irving-TX-75062-388652060,20520478,N,32.83972,-97.00623
7851 Liverpool Lane,Irving,TX,75063,Townhouse,NEW LISTING,,1/26/2024 8:07:00 AM,450000,,,4,4,2241,0.052,2009,4,,,https://www.xome.com/homes-for-sale/7851-Liverpool-Lane-Irving-TX-75063-388650835,20510623,N,32.91603,-96.96619
330 Las Colinas Boulevard Unit 358,Irving,TX,75039,Condo,NEW LISTING,,1/26/2024 7:52:00 AM,325000,,,2,1,1001,3.217,2001,4,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-358-Irving-TX-75039-388650453,20517176,N,32.86558,-96.93816
1518 Finley Road,Irving,TX,75062,Single Family,NEW LISTING,,1/26/2024 7:52:00 AM,329000,,,4,3,1479,0.164,1964,4,,,https://www.xome.com/homes-for-sale/1518-Finley-Road-Irving-TX-75062-388650218,20520729,N,32.851,-96.96445
1205 Farnham Court,Irving,TX,75062,Single Family,NEW LISTING,,1/26/2024 2:27:00 AM,340000,,,4,2,1442,0.2417,1960,4,1/30/2024 8:00:00 AM,1/30/2024 7:30:00 PM,https://www.xome.com/homes-for-sale/1205-Farnham-Court-Irving-TX-75062-388646591,20520779,N,32.85557,-96.96136
2421 Revere Drive,Irving,TX,75061,Single Family,NEW LISTING,,1/25/2024 10:11:00 PM,334999,,,4,2,1548,0.241,1955,4,,,https://www.xome.com/homes-for-sale/2421-Revere-Drive-Irving-TX-75061-388643802,20520580,N,32.82541,-96.97734
2530 Morgan Street,Irving,TX,75062,Single Family,NEW LISTING,,1/25/2024 8:26:00 PM,290000,,,4,2,1428,0.163,1959,4,,,https://www.xome.com/homes-for-sale/2530-Morgan-Street-Irving-TX-75062-388641990,20520701,N,32.84596,-96.97999
4753 Harlow Bend Drive,Irving,TX,75038,Single Family,NEW LISTING,,1/25/2024 12:08:00 PM,949000,,,4,4,3323,0.228,2017,4,,,https://www.xome.com/homes-for-sale/4753-Harlow-Bend-Drive-Irving-TX-75038-388626151,20514631,N,32.87083,-96.94944
2500 Yorkshire Street,Irving,TX,75061,Fourplex,NEW LISTING,,1/25/2024 11:47:00 AM,749900,,,8,4,1728,0.221,1965,5,,,https://www.xome.com/multifamily-for-sale/2500-Yorkshire-Street-Irving-TX-75061-388625341,20517936,N,32.81819,-96.9783
613 Campana Court,Irving,TX,75061,Townhouse,NEW LISTING,,1/25/2024 7:36:00 AM,259900,,,3,2,1587,0.077,1973,5,,,https://www.xome.com/homes-for-sale/613-Campana-Court-Irving-TX-75061-388619428,20519972,N,32.82003,-96.95221
3404 Cavalier Court,Irving,TX,75062,Single Family,NEW LISTING,,1/24/2024 10:26:00 PM,399000,,,4,2,1807,0.358,1968,5,,,https://www.xome.com/homes-for-sale/3404-Cavalier-Court-Irving-TX-75062-388613201,20517945,N,32.84634,-96.99429
1921 Marvel Drive,Irving,TX,75060,Single Family,NEW LISTING,,1/24/2024 10:26:00 PM,319900,,,3,2,1163,0.193,1971,5,,,https://www.xome.com/homes-for-sale/1921-Marvel-Drive-Irving-TX-75060-388613085,20512881,N,32.79679,-96.9706
2604 Rutgers Drive,Irving,TX,75062,Single Family,NEW LISTING,,1/24/2024 4:25:00 PM,298000,,,3,2,1827,0.194,1959,5,,,https://www.xome.com/homes-for-sale/2604-Rutgers-Drive-Irving-TX-75062-388605775,20507985,N,32.84346,-96.98041
1621 W Shady Grove Road,Irving,TX,75060,Single Family,NEW LISTING,,1/24/2024 3:54:00 PM,463000,,,3,2,2000,0.333,1952,5,,,https://www.xome.com/homes-for-sale/1621-W-Shady-Grove-Road-Irving-TX-75060-388604839,20516885,N,32.8022,-96.96526
4521 N O Connor Road Unit 2170,Irving,TX,75062,Condo,NEW LISTING,,1/24/2024 2:39:00 PM,240000,,,3,2,1639,17.153,1975,5,,,https://www.xome.com/homes-for-sale/4521-N-O-Connor-Road-Unit-2170-Irving-TX-75062-388601752,20511640,N,32.86094,-96.95172
513 Balboa Street,Irving,TX,75062,Single Family,NEW LISTING,,1/24/2024 5:34:00 AM,640000,,,4,3,3235,0.32,1977,6,,,https://www.xome.com/homes-for-sale/513-Balboa-Street-Irving-TX-75062-388591056,20512922,N,32.85395,-96.93582
1119 Lucille Street,Irving,TX,75060,Single Family,NEW LISTING,,1/24/2024 4:20:00 AM,360000,,,4,2,1746,0.224,1950,6,,,https://www.xome.com/homes-for-sale/1119-Lucille-Street-Irving-TX-75060-388590227,20517870,N,32.80328,-96.94064
3645 W Northgate Drive Unit 202,Irving,TX,75062,Condo,NEW LISTING,,1/23/2024 9:27:00 AM,179000,,,2,2,947,6.22,1982,7,,,https://www.xome.com/homes-for-sale/3645-W-Northgate-Drive-Unit-202-Irving-TX-75062-388361568,20518371,N,32.85785,-96.99736
1709 Cottonwood Valley Circle,Irving,TX,75038,Single Family,NEW LISTING,,1/23/2024 8:55:00 AM,1750000,,,5,5,5617,0.372,2006,7,,,https://www.xome.com/homes-for-sale/1709-Cottonwood-Valley-Circle-Irving-TX-75038-388360331,20513879,N,32.85854,-96.96842
607 Baugh Drive,Irving,TX,75039,Townhouse,NEW LISTING,,1/23/2024 7:10:00 AM,664900,,,3,4,2045,0.046,2023,7,,,https://www.xome.com/homes-for-sale/607-Baugh-Drive-Irving-TX-75039-388358688,20517560,N,32.87032,-96.93427
