Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
771 Wingate Road,Coppell,TX,75019,Single Family,Active,Contingent,12/7/2023 6:21:00 PM,720000,,,4,4,2678,0.101,2017,53,,,https://www.xome.com/homes-for-sale/771-Wingate-Road-Coppell-TX-75019-387203836,20479053,N,32.98898,-97.00279
118 Olympia Lane,Coppell,TX,75019,Single Family,Active,,12/5/2023 4:15:00 PM,1850000,,,5,7,5597,0.831,2012,55,,,https://www.xome.com/homes-for-sale/118-Olympia-Lane-Coppell-TX-75019-387006007,20489409,N,32.95581,-96.99482
937 Gibbs Crossing,Coppell,TX,75019,Single Family,Active,,12/4/2023 7:42:00 AM,700000,,,4,3,2678,0.196,1996,57,,,https://www.xome.com/homes-for-sale/937-Gibbs-Crossing-Coppell-TX-75019-386970821,20487833,N,32.97594,-96.96078
235 Sleepy Hollow Lane,Coppell,TX,75019,Single Family,Active,Contingent,11/30/2023 10:28:00 PM,900000,,,5,4,4165,0.209,1995,60,,,https://www.xome.com/homes-for-sale/235-Sleepy-Hollow-Lane-Coppell-TX-75019-386888062,20484407,N,32.97484,-96.98762
708 Westminster Way,Coppell,TX,75019,Single Family,Active,,11/30/2023 1:55:00 PM,739900,,,5,3,3138,0.206,1999,60,,,https://www.xome.com/homes-for-sale/708-Westminster-Way-Coppell-TX-75019-386873757,20486006,N,32.98138,-97.00893
117 S Moore Road,Coppell,TX,75019,Single Family,Active,,11/20/2023 2:57:00 PM,1718000,,,5,6,4708,0.312,2023,70,,,https://www.xome.com/homes-for-sale/117-S-Moore-Road-Coppell-TX-75019-386696840,20479631,N,32.96843,-96.97701
101 S Moore Road,Coppell,TX,75019,Single Family,Active,,11/20/2023 2:57:00 PM,1690000,,,5,6,4708,0.312,2023,70,,,https://www.xome.com/homes-for-sale/101-S-Moore-Road-Coppell-TX-75019-386696838,20479630,N,32.96888,-96.97699
109 S Moore Road,Coppell,TX,75019,Single Family,Active,,11/20/2023 2:57:00 PM,1779000,,,5,6,4903,0.312,2023,70,,,https://www.xome.com/homes-for-sale/109-S-Moore-Road-Coppell-TX-75019-386696837,20479610,N,32.96862,-96.97699
1275 Bradford Drive,Coppell,TX,75019,Single Family,Active,,11/4/2023 1:10:00 PM,699500,,,5,3,3320,0.275,1998,86,,,https://www.xome.com/homes-for-sale/1275-Bradford-Drive-Coppell-TX-75019-385976428,20468448,N,32.96171,-96.95405
526 Greenwich Lane,Coppell,TX,75019,Single Family,Active,,10/31/2023 10:27:00 PM,525000,,,3,2,1884,0.184,1990,90,,,https://www.xome.com/homes-for-sale/526-Greenwich-Lane-Coppell-TX-75019-385860576,20467258,N,32.96817,-97.00819
230 Samuel Boulevard Unit 7R,Coppell,TX,75019,Condo,Active,,10/26/2023 4:07:00 PM,290000,,,2,2,1221,8.26,1984,95,,,https://www.xome.com/homes-for-sale/230-Samuel-Boulevard-Unit-7R-Coppell-TX-75019-385741569,20452220,N,32.97417,-96.9741
1068 Creek Crossing,Coppell,TX,75019,Single Family,Active,,10/23/2023 8:54:00 AM,1090000,,,4,4,4030,1.269,1995,99,,,https://www.xome.com/homes-for-sale/1068-Creek-Crossing-Coppell-TX-75019-385583908,20460341,N,32.97642,-96.95489
535 Greenwich Lane,Coppell,TX,75019,Single Family,Active,,10/18/2023 6:51:00 AM,849900,,,5,3,2990,0.215,1990,104,,,https://www.xome.com/homes-for-sale/535-Greenwich-Lane-Coppell-TX-75019-385418577,20456923,N,32.96771,-97.00874
933 Deforest Road,Coppell,TX,75019,Single Family,Active,,10/16/2023 9:09:00 AM,1675000,,,4,6,6417,0.42,2004,106,,,https://www.xome.com/homes-for-sale/933-Deforest-Road-Coppell-TX-75019-385363326,20453924,N,32.98564,-96.9604
516 Oakcrest Drive,Coppell,TX,75019,Single Family,Active,,10/12/2023 12:56:00 PM,580000,,,4,3,2403,0.276,1978,109,,,https://www.xome.com/homes-for-sale/516-Oakcrest-Drive-Coppell-TX-75019-385289467,20453589,N,32.95858,-96.98844
236 Beechwood Lane,Coppell,TX,75019,Single Family,Active,,10/6/2023 3:27:00 AM,792000,,,4,3,3017,0.2289,1991,116,,,https://www.xome.com/homes-for-sale/236-Beechwood-Lane-Coppell-TX-75019-385115120,20448637,N,32.97629,-96.98444
424 State Highway 121,Coppell,TX,75019,Land,Active,,9/15/2023 12:47:00 PM,2558061,,,,,,2.629,,136,,,https://www.xome.com/landlots-for-sale/424-State-Highway-121-Coppell-TX-75019-384459759,20432683,N,32.9892,-96.99811
370 Vista Ridge Boulevard,Coppell,TX,75019,Land,Active,,9/15/2023 12:32:00 PM,1125590,,,,,,1.615,,136,,,https://www.xome.com/landlots-for-sale/370-Vista-Ridge-Boulevard-Coppell-TX-75019-384459156,20432662,N,32.98624,-96.98489
132 Spyglass Drive,Coppell,TX,75019,Single Family,Active,,6/7/2023 11:11:00 AM,1050000,,,5,4,4191,0.275,1993,237,,,https://www.xome.com/homes-for-sale/132-Spyglass-Drive-Coppell-TX-75019-381365262,20341819,N,32.97365,-96.96351
Tbd 121 Bypass,Coppell,TX,75019,Land,Active,,3/15/2023 8:56:00 AM,1476000,,,,,,1.3,,321,,,https://www.xome.com/landlots-for-sale/Tbd-121-Bypass-Coppell-TX-75019-378644741,20280230,N,32.98661,-96.99222
540 W Bethel Road,Coppell,TX,75019,Single Family,Active,,3/13/2023 6:33:00 AM,670000,,,3,2,1298,0.32,1959,323,,,https://www.xome.com/homes-for-sale/540-W-Bethel-Road-Coppell-TX-75019-378590327,20278285,N,32.95502,-97.00868
